"","temp_pulled","prop_normal_color","prop_eclose","n","control_normal_color","control_eclose","abbott_normal_color","abbott_eclose"
"1",0,0.75,0.1875,16,0.964,0.301,0.221991701244813,0.377076411960133
"2",-2,1,0.1875,16,0.964,0.301,-0.037344398340249,0.377076411960133
"3",-4,0.625,0.3125,16,0.964,0.301,0.351659751037344,-0.0382059800664452
"4",-6,0.8,0.0666666666666667,15,0.964,0.301,0.170124481327801,0.778516057585825
"5",-8,0.8125,0.1875,16,0.964,0.301,0.157157676348548,0.377076411960133
"6",-10,0.75,0.1875,16,0.964,0.301,0.221991701244813,0.377076411960133
"7",-12,0.9375,0.1875,16,0.964,0.301,0.0274896265560166,0.377076411960133
"8",-14,0.6875,0.25,16,0.964,0.301,0.286825726141079,0.169435215946844
"9",-16,0.8125,0.125,16,0.964,0.301,0.157157676348548,0.584717607973422
"10",-18,0.866666666666667,0.3125,16,0.964,0.301,0.100968188105117,-0.0382059800664452
"11",-20,0.8125,0.25,16,0.964,0.301,0.157157676348548,0.169435215946844
"12",-22,0.944444444444444,0.388888888888889,18,0.964,0.301,0.0202858460119871,-0.291989664082687
"13",-24,0.941176470588235,0.117647058823529,17,0.964,0.301,0.023675860385648,0.609145983974985
"14",-26,0.666666666666667,0.0555555555555556,18,0.964,0.301,0.308437067773167,0.815430047988188
"15",-28,0.777777777777778,0,27,0.964,0.301,0.193176579068695,1
"16",-30,0.466666666666667,0.2,15,0.964,0.301,0.515905947441217,0.335548172757475
"17",-32,0.479452054794521,0.0547945205479452,73,0.964,0.301,0.502643096686182,0.817958403495199
