date_SC,trial,channel,degree_min,temp_pulled,batch_parasitoid,date_check_3day,discolor_3day,movement_3day,cocoon,stage_l_p_w_3day,date_adult,date_fungus,date_check_7day,discolor_7day,movement_7day,stage_l_p_w_7day,note,est_scp,eclose,temp_pulled_grouped,uid,trial_id,degree_min_continuous
2019-03-01,e,3,1,-16,20,2019-02-25,1,0,Y,L,NA,NA,NA,NA,NA,NA,NA,NA,0,-16,1,2019-03-01e,1
2019-03-01,e,4,1,-4,20,2019-02-25,0,0,N,L,NA,NA,2019-03-18,0,0,NA,NA,NA,0,-4,2,2019-03-01e,1
2019-03-01,e,5,1,-14,20,2019-02-25,1,0,Y,L,NA,NA,2019-04-05,1,0,W,NA,NA,1,-14,3,2019-03-01e,1
2019-03-01,e,7,1,-18,20,2019-02-25,1,0,Y,L,NA,NA,2019-04-05,1,0,W,NA,NA,0,-18,4,2019-03-01e,1
2019-03-01,e,8,1,0,20,2019-02-25,1,0,Y,L,NA,NA,2019-04-05,1,0,p,NA,NA,0,0,5,2019-03-01e,1
2019-03-01,e,9,1,-8,20,2019-02-25,1,0,N,L,NA,NA,2019-03-18,0,0,NA,NA,NA,0,-8,6,2019-03-01e,1
2019-03-01,e,10,1,-20,20,2019-02-25,1,0,Y,L,NA,NA,NA,NA,NA,NA,NA,NA,0,-20,7,2019-03-01e,1
2019-03-01,e,11,1,-2,20,2019-02-25,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,8,2019-03-01e,1
2019-03-01,e,13,1,-12,20,2019-02-25,1,0,Y,L,NA,NA,2019-04-05,NA,0,L,NA,NA,0,-12,9,2019-03-01e,1
2019-03-01,e,14,1,-6,20,2019-02-25,1,1,N,L,NA,NA,2019-03-18,0,0,NA,NA,NA,0,-6,10,2019-03-01e,1
2019-03-01,e,15,1,-10,20,2019-02-25,1,0,Y,L,NA,NA,NA,NA,NA,NA,NA,NA,0,-10,11,2019-03-01e,1
2019-03-01,e,control,1,NA,20,2019-02-25,1,0,Y,L,NA,NA,2019-04-05,NA,0,P,NA,NA,1,NA,12,2019-03-01e,1
2019-03-01,e,control,1,NA,20,2019-02-25,1,0,Y,L,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,13,2019-03-01e,1
2019-03-01,e,control,1,NA,20,2013-02-25,1,1,Y,L,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,14,2019-03-01e,1
2019-07-11,b,3,0.1,-24,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-24,15,2019-07-11b,0.1
2019-07-11,b,4,0.1,-22,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22,16,2019-07-11b,0.1
2019-07-11,b,5,0.1,-28,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27,0,-28,17,2019-07-11b,0.1
2019-07-11,b,7,0.1,-28,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26,0,-28,18,2019-07-11b,0.1
2019-07-11,b,9,0.1,-28,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.5,0,-28,19,2019-07-11b,0.1
2019-07-11,b,10,0.1,-28,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27,0,-28,20,2019-07-11b,0.1
2019-07-11,b,13,0.1,-28,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.5,0,-28,21,2019-07-11b,0.1
2019-07-11,b,14,0.1,-28,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21,0,-28,22,2019-07-11b,0.1
2019-07-11,b,15,0.1,-26,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.5,0,-26,23,2019-07-11b,0.1
2019-07-11,b,control,0.1,NA,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,24,2019-07-11b,0.1
2019-07-11,b,control,0.1,NA,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,25,2019-07-11b,0.1
2019-07-11,b,control,0.1,NA,NA,2019-07-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,26,2019-07-11b,0.1
2019-03-12,c,3,0.5,-16,A,2019-03-20,1,0,N,P,NA,NA,2019-04-05,1,0,W,NA,NA,0,-16,27,2019-03-12c,0.5
2019-03-12,c,4,0.5,-20,A,2019-03-20,1,0,YR,P,NA,2019-03-27,NA,NA,NA,NA,NA,NA,0,-20,28,2019-03-12c,0.5
2019-03-12,c,5,0.5,-14,A,2019-03-20,1,0,N,W,NA,2019-03-27,NA,NA,NA,NA,NA,NA,0,-14,29,2019-03-12c,0.5
2019-03-12,c,7,0.5,-2,A,2019-03-20,1,0,YR,W,2019-03-26,NA,NA,NA,NA,NA,NA,NA,1,-2,30,2019-03-12c,0.5
2019-03-12,c,8,0.5,-10,A,2019-03-20,1,0,Y,W,NA,2019-04-05,2019-04-05,1,0,W,NA,NA,0,-10,31,2019-03-12c,0.5
2019-03-12,c,9,0.5,-18,A,2019-03-20,1,0,N,L,NA,NA,2019-04-05,NA,0,L,NA,NA,0,-18,32,2019-03-12c,0.5
2019-03-12,c,10,0.5,-4,A,2019-03-18,0,0,N,L,NA,NA,NA,NA,NA,NA,NA,NA,0,-4,33,2019-03-12c,0.5
2019-03-12,c,11,0.5,-6,A,2019-03-20,0,0,N,L,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,34,2019-03-12c,0.5
2019-03-12,c,13,0.5,0,A,2019-03-18,0,0,Y,L,NA,NA,NA,NA,NA,NA,NA,NA,0,0,35,2019-03-12c,0.5
2019-03-12,c,14,0.5,-8,A,2019-03-18,1,0,N,L,NA,NA,NA,NA,NA,NA,NA,NA,0,-8,36,2019-03-12c,0.5
2019-03-12,c,15,0.5,-12,A,2019-03-20,1,0,Y,W,2019-04-05,NA,NA,NA,NA,NA,ADULT IN COCOON,NA,1,-12,37,2019-03-12c,0.5
2019-03-12,c,control,0.5,NA,A,2019-03-20,1,0,Y,P,NA,NA,2019-04-05,1,0,W,NA,NA,1,NA,38,2019-03-12c,0.5
2019-03-12,c,control,0.5,NA,A,2019-03-20,1,0,N,W,NA,NA,2019-04-05,NA,0,P,NA,NA,1,NA,39,2019-03-12c,0.5
2019-03-12,f,3,0.1,-30,A,2019-03-18,0,0,Y,L,NA,NA,NA,NA,NA,NA,NA,-25.4,0,-30,40,2019-03-12f,0.1
2019-03-12,f,4,0.1,-33,20,2019-03-18,0,0,Y,L,NA,NA,NA,NA,NA,NA,NA,-26.2,0,-32,41,2019-03-12f,0.1
2019-03-12,f,5,0.1,-26,A,2019-03-18,0,0,Y,L,NA,NA,NA,NA,NA,NA,NA,-25.6,0,-26,42,2019-03-12f,0.1
2019-03-12,f,7,0.1,-32.5,A,2019-03-18,0,0,Y,L,NA,NA,NA,NA,NA,NA,NA,-25,0,-32,43,2019-03-12f,0.1
2019-03-12,f,8,0.1,-28,20,2019-03-20,1,0,Y,L,NA,NA,2019-04-05,1,0,L,NA,-25.5,0,-28,44,2019-03-12f,0.1
2019-03-12,f,9,0.1,-32,A,2019-03-18,0,0,N,L,NA,NA,NA,NA,NA,NA,NA,-25.9,0,-32,45,2019-03-12f,0.1
2019-03-12,f,10,0.1,-22,A,2019-03-20,1,0,Y,W,2019-03-26,NA,NA,NA,NA,NA,NA,NA,1,-22,46,2019-03-12f,0.1
2019-03-12,f,11,0.1,-33,20,2019-03-20,1,0,Y,L,NA,NA,2019-04-05,NA,0,L,NA,-26.7,0,-32,47,2019-03-12f,0.1
