treatment,tree_type,log_id_number,number_of_hatched_larvae,date_of_dissection,eab_stage,parasitized,sg_brood_id,sg_count,number_emg_sg,unemerged_larvae,unemerged_adults,note
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,1,5,0,3,2,NA
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,2,3,3,0,0,NA
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,3,5,5,1,0,NA
DE_Outdoor,GA,1,4,7/16/2020,L4,yes,4,8,6,0,2,NA
DE_Outdoor,GA,2,2,7/16/2020,L3,yes,1,2,0,2,0,NA
DE_Outdoor,GA,2,2,7/16/2020,L4,yes,2,8,5,0,3,NA
DE_Outdoor,GA,3,3,7/16/2020,L3,yes,1,4,4,0,0,NA
DE_Outdoor,GA,3,3,7/16/2020,L3,yes,2,5,0,0,5,NA
DE_Outdoor,GA,3,3,7/16/2020,L4,yes,3,10,0,10,0,NA
DE_Outdoor,GA,4,3,7/16/2020,L4,yes,1,15,5,0,10,NA
DE_Outdoor,GA,4,3,7/16/2020,L3,yes,2,7,3,2,2,NA
DE_Outdoor,GA,4,3,7/16/2020,L3,yes,3,5,0,5,0,NA
DE_Outdoor,GA,5,3,7/16/2020,L3,yes,1,6,0,6,0,NA
DE_Outdoor,GA,5,3,7/16/2020,L3,yes,2,4,0,4,0,NA
DE_Outdoor,GA,5,3,7/16/2020,L3,yes,3,3,0,3,0,NA
Morris_Air,GA,1,2,NA,NA,NA,1,7,0,7,0,NA
Morris_Air,GA,1,2,NA,NA,NA,2,4,0,4,0,NA
Morris_Air,GA,2,3,NA,NA,NA,1,7,0,7,0,NA
Morris_Air,GA,2,3,NA,NA,NA,2,3,0,3,0,NA
Morris_Air,GA,2,3,NA,NA,NA,3,2,0,2,0,NA
Morris_Air,GA,3,1,NA,NA,NA,1,1,0,1,0,NA
Morris_Air,GA,4,1,NA,NA,NA,1,4,0,4,0,NA
Morris_Air,GA,5,2,NA,NA,NA,1,8,0,7,1,NA
Morris_Air,GA,5,2,NA,NA,NA,2,4,0,4,0,NA
Morris_Air,GA,6,2,NA,NA,NA,1,8,0,8,0,NA
Morris_Air,GA,6,2,NA,NA,NA,2,1,0,1,0,NA
Morris_Snow,GA,1,3,NA,NA,NA,1,3,1,0,2,NA
Morris_Snow,GA,1,3,NA,NA,NA,2,3,0,0,3,NA
Morris_Snow,GA,1,3,NA,NA,NA,3,6,0,0,6,NA
Morris_Snow,GA,2,4,NA,NA,NA,1,7,0,0,7,NA
Morris_Snow,GA,2,4,NA,NA,NA,2,5,0,0,5,NA
Morris_Snow,GA,2,4,NA,NA,NA,3,3,0,0,3,NA
Morris_Snow,GA,2,4,NA,NA,NA,4,4,0,0,4,NA
Morris_Snow,GA,3,5,NA,NA,NA,1,4,2,0,2,NA
Morris_Snow,GA,3,5,NA,NA,NA,2,7,4,0,3,NA
Morris_Snow,GA,3,5,NA,NA,NA,3,7,3,0,4,NA
Morris_Snow,GA,3,5,NA,NA,NA,4,3,3,0,0,NA
Morris_Snow,GA,3,5,NA,NA,NA,5,10,4,0,6,NA
Morris_Snow,GA,4,7,NA,NA,NA,1,12,12,0,0,NA
Morris_Snow,GA,4,7,NA,NA,NA,2,13,13,0,0,NA
Morris_Snow,GA,4,7,NA,NA,NA,3,2,2,0,0,NA
Morris_Snow,GA,4,7,NA,NA,NA,4,7,7,0,0,NA
Morris_Snow,GA,4,7,NA,NA,NA,5,9,9,0,0,NA
Morris_Snow,GA,4,7,NA,NA,NA,6,4,4,0,0,NA
Morris_Snow,GA,4,7,NA,NA,NA,7,1,0,1,0,NA
Morris_Snow,GA,5,2,NA,NA,NA,1,4,0,0,4,NA
Morris_Snow,GA,5,2,NA,NA,NA,2,10,0,0,10,NA
Morris_Snow,GA,6,8,NA,NA,NA,1,12,11,0,1,NA
Morris_Snow,GA,6,8,NA,NA,NA,2,2,1,0,1,NA
Morris_Snow,GA,6,8,NA,NA,NA,3,11,11,0,0,NA
Morris_Snow,GA,6,8,NA,NA,NA,4,11,11,0,0,NA
