Treatment,Rep,Oviposition Date,Eggs to 25oC,Eggs to 30oC,Wasp ID,Larva:Wasp Ratio,Exposure Dates,Date Deployed in Field,unemerged_larvae,unemerged_partial_develop_adults,unemerged_females,unemerged_males,Date of First Emergence,Date of Final Emergence,emerged_females,emerged_males
DE_Outdoor,1,10/11-10/14/19,10/14/2019,10/16/2019,Spat-RU-2010F50 + Spat-RU-2010F53 (USED 1X),2:01,11/14-11/21/19,12/16/2019,4,0,0,,5/25/2020,6/4/2020,4,3
DE_Outdoor,2,10/11-10/14/19,10/14/2019,10/16/2019,Spat-RU-2010F50 + Spat-RU-2010F53 (USED 1X),2:01,11/14-11/21/19,12/16/2019,2,0,0,,5/28/2020,6/1/2020,3,3
DE_Outdoor,3,10/11-10/14/19,10/14/2019,10/16/2019,Spat-RU-2010F50 + Spat-RU-2010F53 (USED 1X),2:01,11/14-11/21/19,12/16/2019,3,0,0,,5/27/2020,6/1/2020,1,1
DE_Outdoor,4,10/11-10/14/19,10/14/2019,10/16/2019,Spat-RU-2010F50 + Spat-RU-2010F53 (USED 1X),2:01,11/14-11/21/19,12/16/2019,3,0,0,,6/5/2020,6/15/2020,12,4
DE_Outdoor,5,10/11-10/14/19,10/14/2019,10/16/2019,Spat-RU-2010F50 + Spat-RU-2010F53 (USED 1X),2:01,11/14-11/21/19,12/16/2019,3,0,0,,NA,NA,0,0
DE_Outdoor,6,10/11-10/14/19,10/14/2019,10/16/2019,Spat-RU-2010F50 + Spat-RU-2010F53 (USED 1X),2:01,11/14-11/21/19,12/16/2019,3,0,0,,NA,NA,0,0
Morris_Air,1,,,,,,,,11,0,0,0,NA,NA,0,0
Morris_Air,2,,,,,,,,12,0,0,0,NA,NA,0,0
Morris_Air,3,,,,,,,,1,1,0,0,NA,NA,0,0
Morris_Air,4,,,,,,,,4,6,0,0,NA,NA,0,0
Morris_Air,5,,,,,,,,11,7,0,1,NA,NA,0,0
Morris_Air,6,,,,,,,,9,1,0,0,NA,NA,0,0
Morris_Snow,1,,,,,,,,0,0,10,1,4/20/2020,4/20/2020,1,0
Morris_Snow,2,,,,,,,,0,0,15,4,NA,NA,0,0
